
,,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Scrimmage,Scrimmage,Scrimmage,Scrimmage
Rk,Player,Att,Yds,Avg,TD,Rec,Yds,Avg,TD,Plays,Yds,Avg,TD
1,Mike Rozier\mike-rozier-1,275,2148,7.8,29,10,106,10.6,0,285,2254,7.9,29
2,Turner Gill\turner-gill-1,109,531,4.9,11,,,,,109,531,4.9,11
3,Jeff Smith\jeff-smith-4,78,439,5.6,5,6,146,24.3,2,84,585,7.0,7
4,Mark Schellen\mark-schellen-1,77,450,5.8,9,2,10,5.0,0,79,460,5.8,9
5,Nate Mason\nate-mason-1,35,222,6.3,2,,,,,35,222,6.3,2
6,Paul Miles\paul-miles-1,29,281,9.7,3,1,24,24.0,0,30,305,10.2,3
7,Tom Rathman\tom-rathman-1,26,143,5.5,0,2,26,13.0,1,28,169,6.0,1
8,Irving Fryar\irving-fryar-1,23,318,13.8,2,40,780,19.5,8,63,1098,17.4,10
9,Craig Sundberg\craig-sundberg-1,18,86,4.8,4,,,,,18,86,4.8,4
10,Tim Brungardt\tim-brungardt-1,18,65,3.6,1,1,8,8.0,0,19,73,3.8,1
11,Scott Porter\scott-porter-1,9,31,3.4,0,,,,,9,31,3.4,0
12,Greg Divis\greg-divis-1,6,28,4.7,0,,,,,6,28,4.7,0
13,Pat Borer\pat-borer-1,4,24,6.0,0,,,,,4,24,6.0,0
14,Bob Kingston\bob-kingston-1,4,1,0.3,0,,,,,4,1,0.3,0
15,Shane Swanson\shane-swanson-1,3,25,8.3,0,5,66,13.2,1,8,91,11.4,1
16,Travis Turner\travis-turner-1,3,19,6.3,0,,,,,3,19,6.3,0
17,Jim Thompson\jim-thompson-1,2,-4,-2.0,0,1,4,4.0,0,3,0,0.0,0
18,Ricky Simmons\ricky-simmons-1,1,12,12.0,0,13,137,10.5,0,14,149,10.6,0
19,Roger Lindstrom\roger-lindstrom-1,1,11,11.0,0,,,,,1,11,11.0,0
20,Napier\napier-1,1,4,4.0,0,,,,,1,4,4.0,0
21,Woodruff\woodruff-1,1,1,1.0,0,,,,,1,1,1.0,0
22,Scott Kimball\scott-kimball-1,,,,,12,207,17.3,1,12,207,17.3,1
23,Monte Engebritson\monte-engebritson-1,,,,,7,95,13.6,1,7,95,13.6,1
24,Todd Frain\todd-frain-1,,,,,5,100,20.0,3,5,100,20.0,3
25,Brian Hiemer\brian-hiemer-1,,,,,2,31,15.5,1,2,31,15.5,1
